query,video_id,query_date,sentiment
эдисон,video_74232,2023-11-03 18:00:00,useful
модная команда..модная я. leilazakirovna,video_45,2023-11-03 18:00:00,uselessly
пираты карибского моря фильм,video_106361,2023-11-03 18:00:00,could_be_better
data science,video_291105,2023-11-03 18:00:00,useful
физикальное обследование ,video_57,2023-11-03 18:00:00,uselessly
стас старовойтов - проблемы сорокалетних,video_106834,2023-11-03 18:00:00,uselessly
салат из китайских огурцов,video_95333,2023-11-03 18:00:00,uselessly
благословение небожителей,video_107861,2023-11-03 18:00:00,uselessly
papasha_live создаем 3d игрушку из слайма,video_294554,2023-11-03 18:00:00,uselessly
куриные крылышки в казане за 30 минут.,video_96422,2023-11-03 18:00:00,useful
игры ,video_207,2023-11-03 18:00:00,useful
куда исчезла армянская слобода в казани?,video_39136,2023-11-03 18:00:00,uselessly
выжить в ду,video_97134,2023-11-03 18:00:00,useful
выжить в дубае  9 серия,video_97134,2023-11-03 18:00:00,could_be_better
выжить в дубае 10,video_97134,2023-11-03 18:00:00,useful
выжить в дубае 12,video_97134,2023-11-03 18:00:00,useful
выжить в дубае 12пуск,video_97134,2023-11-03 18:00:00,useful
выжить в дубае 3,video_97134,2023-11-03 18:00:00,useful
выжить в дубае 8 выпуск,video_97134,2023-11-03 18:00:00,useful
выжить в дубае 9 выпуск,video_97134,2023-11-03 18:00:00,useful
выжить в дубае к,video_97134,2023-11-03 18:00:00,useful
выжить в дубаи ,video_97134,2023-11-03 18:00:00,useful
звезды в дубае,video_97134,2023-11-03 18:00:00,useful
стендап тнт,video_12599919,2023-11-03 18:00:00,could_be_better
радислав гандапас,video_581532,2023-11-03 18:00:00,useful
хамали и наваи ,video_16164063,2023-11-03 18:00:00,could_be_better
как сделать много комментариев на ozon. отзывы ozon.,video_185594,2023-11-03 18:00:00,could_be_better
relax music,video_220603,2023-11-03 18:00:00,useful
битва шефов2 ,video_583657,2023-11-03 18:00:00,uselessly
лига н,video_147572,2023-11-03 18:00:00,uselessly
цска ахмат,video_75034,2023-11-03 18:00:00,could_be_better
первая передача нтв ,video_14249106,2023-11-03 18:00:00,useful
отчий берег 2017 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 серия,video_13493089,2023-11-03 18:00:00,uselessly
рим с климусом скарабеусом s02e06,video_585695,2023-11-03 18:00:00,uselessly
жорик вартанов,video_396115,2023-11-03 18:00:00,uselessly
выжить в дубаи 12,video_870621,2023-11-03 18:00:00,could_be_better
новгород,video_7825675,2023-11-03 18:00:00,could_be_better
зенит спартак 2006 ,video_871369,2023-11-03 18:00:00,uselessly
голос уже не дети,video_397606,2023-11-03 18:00:00,useful
модная команда..модная я. leilazakirovna,video_42483,2023-11-03 18:00:00,uselessly
игры ,video_99695,2023-11-03 18:00:00,useful
боруссия дортмунд,video_99707,2023-11-03 18:00:00,uselessly
flightbomber,video_873369,2023-11-03 18:00:00,could_be_better
модная команда..модная я. leilazakirovna,video_38057,2023-11-03 18:00:00,uselessly
мария макарова стэндап,video_389942,2023-11-03 18:00:00,uselessly
цельнозор,video_874532,2023-11-03 18:00:00,uselessly
дело чести сериал 2017,video_68739,2023-11-03 18:00:00,сlickbait
камеди клаб нато,video_398772,2023-11-03 18:00:00,could_be_better
саня во флориде - первый урожай. плюс 3 дерева манго в плантации!,video_874854,2023-11-03 18:00:00,could_be_better
сердца клавы коки,video_398933,2023-11-03 18:00:00,could_be_better
сериалы,video_186291,2023-11-03 18:00:00,useful
выжить в дубае 10 выпуск,video_77630,2023-11-03 18:00:00,uselessly
элдос алмазов стендап,video_399219,2023-11-03 18:00:00,uselessly
симс,video_399453,2023-11-03 18:00:00,useful
фильмач,video_186393,2023-11-03 18:00:00,uselessly
казань. соболевские номера.,video_635,2023-11-03 18:00:00,uselessly
блондинка в законе,video_15057981,2023-11-03 18:00:00,uselessly
новые звезды в африке  сезон 5зон ,video_60810,2023-11-03 18:00:00,uselessly
битва,video_75708,2023-11-03 18:00:00,useful
битва сильнейших 14 выпуск,video_75708,2023-11-03 18:00:00,could_be_better
битва сильнейших 15 выпуск,video_75708,2023-11-03 18:00:00,useful
битва сильнейших экстрасенсов,video_75708,2023-11-03 18:00:00,useful
битва сильнейших экстрасенсов2,video_75708,2023-11-03 18:00:00,useful
битва экстрасенсов,video_75708,2023-11-03 18:00:00,useful
битва экстрасенсов 2023 8 выпуск,video_75708,2023-11-03 18:00:00,useful
битва экстрасенсов 23 сезон,video_75708,2023-11-03 18:00:00,useful
битва экстрасенсов 23 сезон 13 выпуск 3 декабря 2022,video_75708,2023-11-03 18:00:00,could_be_better
битва экстрасенсов битва сильнейших,video_75708,2023-11-03 18:00:00,useful
битва экстрасенсов сильнейших 14 выпуск,video_75708,2023-11-03 18:00:00,useful
битва экстрасенсов22,video_75708,2023-11-03 18:00:00,useful
экстрасенсы битва сильнейших 23 сезон,video_75708,2023-11-03 18:00:00,exact
«поликлиника» заходите в мой дом!,video_1160889,2023-11-03 18:00:00,uselessly
аренда байка в таиланде | мотобайк | таиланд,video_386257,2023-11-03 18:00:00,uselessly
битва экстрасенсовпо,video_29928824,2023-11-03 18:00:00,uselessly
новая битва экстрасенсов,video_29928824,2023-11-03 18:00:00,could_be_better
матч ив,video_1163472,2023-11-03 18:00:00,uselessly
звезды сошлись последний выпуск,video_75886,2023-11-03 18:00:00,uselessly
москва ,video_38298,2023-11-03 18:00:00,useful
мужское,video_393031,2023-11-03 18:00:00,could_be_better
фарсаж,video_386978,2023-11-03 18:00:00,uselessly
лего,video_93801,2023-11-03 18:00:00,useful
выжить в дубае,video_12377288,2023-11-03 18:00:00,uselessly
лесник своя земля 45,video_15951680,2023-11-03 18:00:00,uselessly
магазин,video_8078,2023-11-03 18:00:00,uselessly
пацанамки,video_689764,2023-11-03 18:00:00,uselessly
иванькозон,video_1452999,2023-11-03 18:00:00,сlickbait
каменская 4,video_61041,2023-11-03 18:00:00,uselessly
мышь для экономных геймеров,video_61041,2023-11-03 18:00:00,useful
газовые вести,video_394478,2023-11-03 18:00:00,could_be_better
янчик,video_1453395,2023-11-03 18:00:00,uselessly
заморозок,video_76324,2023-11-03 18:00:00,uselessly
nx,video_1454933,2023-11-03 18:00:00,uselessly
богато жить не запретишь ,video_93944,2023-11-03 18:00:00,exact
виктория райдос ,video_9708430,2023-11-03 18:00:00,uselessly
выжить в дубае 8,video_69163,2023-11-03 18:00:00,uselessly
дождь для сна,video_43145,2023-11-03 18:00:00,useful
гвозди шоу,video_975563,2023-11-03 18:00:00,could_be_better
битва сильнейших экстрасенсов 1выпуск,video_1741304,2023-11-03 18:00:00,сlickbait
радислав гандапас,video_975830,2023-11-03 18:00:00,useful
мужское женское  го,video_25107757,2023-11-03 18:00:00,useful
муское енское,video_25107757,2023-11-03 18:00:00,useful
сексгодые девушки,video_25107757,2023-11-03 18:00:00,uselessly
аст,video_681990,2023-11-03 18:00:00,useful
muragi vlog | генуэзская крепость,video_675763,2023-11-03 18:00:00,could_be_better
рассказы о суконке,video_682239,2023-11-03 18:00:00,uselessly
летаем потихоньку да стреляем,video_1744366,2023-11-03 18:00:00,could_be_better
закормленный любовью,video_43268,2023-11-03 18:00:00,uselessly
жизнь по вызову 2022 12 3 4 5 6 7 8 9 10 серия,video_977400,2023-11-03 18:00:00,uselessly
каспарянц,video_176343,2023-11-03 18:00:00,useful
за палпаыча,video_13809,2023-11-03 18:00:00,uselessly
fitness_online пресс за 5 минут,video_330525,2023-11-03 18:00:00,could_be_better
анна маслова место силы,video_78441,2023-11-03 18:00:00,could_be_better
адский шеф,video_40039,2023-11-03 18:00:00,useful
работа,video_677402,2023-11-03 18:00:00,useful
наше делоо,video_176461,2023-11-03 18:00:00,uselessly
зенит динамо,video_19489689,2023-11-03 18:00:00,uselessly
семченко: я стал врагом для киева за то,video_25107812,2023-11-03 18:00:00,uselessly
s ранги которых я воспитал,video_677809,2023-11-03 18:00:00,uselessly
зим,video_684508,2023-11-03 18:00:00,exact
большой будда на пхукете | биг будда | что посмотреть в таиланде? | пхукет | экскурсии в таиланде,video_678239,2023-11-03 18:00:00,exact
черный список,video_980463,2023-11-03 18:00:00,useful
камеди,video_15431625,2023-11-03 18:00:00,could_be_better
первый канал,video_2319294,2023-11-03 18:00:00,could_be_better
небесный суд,video_969529,2023-11-03 18:00:00,uselessly
агент 007,video_680196,2023-11-03 18:00:00,uselessly
звёзды в африке,video_363181,2023-11-03 18:00:00,uselessly
однажды в росси ,video_462461,2023-11-03 18:00:00,uselessly
debauchery food стейк модена,video_964079,2023-11-03 18:00:00,could_be_better
вагнер,video_146290,2023-11-03 18:00:00,useful
деструктивные сообщества в социальных сетях,video_148774,2023-11-03 18:00:00,uselessly
петросян шоу,video_1270757,2023-11-03 18:00:00,could_be_better
отчий берег 2017 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 серия,video_462725,2023-11-03 18:00:00,uselessly
экстратайм,video_964807,2023-11-03 18:00:00,useful
анна маслова ,video_1271598,2023-11-03 18:00:00,uselessly
хайп реалити 5,video_1666016,2023-11-03 18:00:00,could_be_better
салат из китайских огурцов,video_349069,2023-11-03 18:00:00,could_be_better
безумный макс дорога ярости,video_2612739,2023-11-03 18:00:00,useful
6 тур рпл,video_4647,2023-11-03 18:00:00,could_be_better
как оформить состав на ozon?,video_16760408,2023-11-03 18:00:00,useful
метод,video_146534,2023-11-03 18:00:00,could_be_better
пп пицца на сковороде,video_966313,2023-11-03 18:00:00,useful
планшеты,video_25108007,2023-11-03 18:00:00,could_be_better
три главных слова,video_2614730,2023-11-03 18:00:00,uselessly
стив и алекс секс,video_11535062,2023-11-03 18:00:00,uselessly
шев,video_1557657,2023-11-03 18:00:00,uselessly
зимородок ,video_1557702,2023-11-03 18:00:00,useful
никотин дмитрий 16.09.2022.,video_189650,2023-11-03 18:00:00,uselessly
выжит дубаи 7в ,video_967265,2023-11-03 18:00:00,uselessly
порно,video_974404,2023-11-03 18:00:00,uselessly
санкт-петербург,video_967506,2023-11-03 18:00:00,useful
шев,video_1558367,2023-11-03 18:00:00,uselessly
нтв,video_967747,2023-11-03 18:00:00,сlickbait
фарсаж,video_463887,2023-11-03 18:00:00,useful
counter-strike 2,video_463913,2023-11-03 18:00:00,uselessly
свободный бракоткрыоткр,video_331393,2023-11-03 18:00:00,uselessly
экстра такси,video_1474015,2023-11-03 18:00:00,uselessly
отчий берег 2017 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 серия,video_13493430,2023-11-03 18:00:00,uselessly
звёзды в африке ,video_364225,2023-11-03 18:00:00,useful
павлова анна леонидовна,video_383280,2023-11-03 18:00:00,uselessly
ислам сексолог - психолог регина спиридонова,video_1560843,2023-11-03 18:00:00,uselessly
блогер 2023 | актуальные социальные сети,video_474987,2023-11-03 18:00:00,uselessly
москва ,video_3192219,2023-11-03 18:00:00,useful
пп пицца на сковороде,video_1561490,2023-11-03 18:00:00,exact
измеряем плотность воды!,video_29801672,2023-11-03 18:00:00,uselessly
казань. соболевские номера.,video_29801672,2023-11-03 18:00:00,uselessly
контакты шасту,video_29801672,2023-11-03 18:00:00,uselessly
камеди клаб | премьера | новый сезон | полный выпуск,video_29801678,2023-11-03 18:00:00,could_be_better
угадай трек. в гостях нестер махно,video_465646,2023-11-03 18:00:00,uselessly
фото,video_1256946,2023-11-03 18:00:00,could_be_better
большой будда на пхукете | биг будда | что посмотреть в таиланде? | пхукет | экскурсии в таиланде,video_1257300,2023-11-03 18:00:00,could_be_better
стен дап,video_1848012,2023-11-03 18:00:00,uselessly
натали ру,video_147036,2023-11-03 18:00:00,uselessly
закормленный любовью,video_475460,2023-11-03 18:00:00,uselessly
крот сериал,video_752089,2023-11-03 18:00:00,uselessly
hiiki omori,video_1848518,2023-11-03 18:00:00,uselessly
контакты шасту,video_25108146,2023-11-03 18:00:00,uselessly
райан гослинг,video_349523,2023-11-03 18:00:00,сlickbait
лисички с картошкой в казане,video_20010751,2023-11-03 18:00:00,exact
стен дап,video_475607,2023-11-03 18:00:00,uselessly
vocal trance,video_1265264,2023-11-03 18:00:00,exact
гоголь сериал,video_475778,2023-11-03 18:00:00,uselessly
семченко: я стал врагом для киева за то,video_1850441,2023-11-03 18:00:00,uselessly
битва,video_3481631,2023-11-03 18:00:00,useful
большой завтрак,video_1258976,2023-11-03 18:00:00,could_be_better
магний,video_465941,2023-11-03 18:00:00,uselessly
звезды сошлись последний выпуск,video_383686,2023-11-03 18:00:00,uselessly
игратнт,video_1259795,2023-11-03 18:00:00,uselessly
лебедевский мост в казани,video_231562,2023-11-03 18:00:00,uselessly
звезды в африке 4 сезон,video_752920,2023-11-03 18:00:00,uselessly
билеты,video_2135347,2023-11-03 18:00:00,useful
света кемер новые серии,video_2135929,2023-11-03 18:00:00,uselessly
следствие вели с леонидом ,video_9708520,2023-11-03 18:00:00,useful
эскалоп свиной и стейк халяль на мангале,video_753169,2023-11-03 18:00:00,uselessly
звезды в африке 5сезон ,video_1260833,2023-11-03 18:00:00,uselessly
обзор м,video_1551502,2023-11-03 18:00:00,could_be_better
юрец огурец,video_1261238,2023-11-03 18:00:00,uselessly
hype realiti,video_753393,2023-11-03 18:00:00,uselessly
спутник на русском,video_1544790,2023-11-03 18:00:00,uselessly
dmitri y nikotin,video_30660504,2023-11-03 18:00:00,uselessly
модная команда..модная я. leilazakirovna,video_621422,2023-11-03 18:00:00,could_be_better
райан гослинг,video_231793,2023-11-03 18:00:00,uselessly
делегированный синдром мюнхгаузена,video_13493571,2023-11-03 18:00:00,uselessly
алексей осипов,video_437110,2023-11-03 18:00:00,useful
назима 2000,video_1553395,2023-11-03 18:00:00,uselessly
колосс советских панцерных войск,video_435746,2023-11-03 18:00:00,uselessly
четыре жены,video_2426861,2023-11-03 18:00:00,uselessly
матч,video_11581056,2023-11-03 18:00:00,useful
блогер 2023 | актуальные социальные сети,video_327513,2023-11-03 18:00:00,uselessly
овр шоу,video_327513,2023-11-03 18:00:00,useful
страшно,video_4359304,2023-11-03 18:00:00,could_be_better
физикальное обследование ,video_40811,2023-11-03 18:00:00,uselessly
comedy club кравец,video_29801863,2023-11-03 18:00:00,could_be_better
плохие в,video_23314321,2023-11-03 18:00:00,uselessly
тугела,video_10304879,2023-11-03 18:00:00,uselessly
шеф ивлев на ножах,video_1840225,2023-11-03 18:00:00,uselessly
рис жасмин с осьминогом,video_8523027,2023-11-03 18:00:00,uselessly
киссинджер,video_8506936,2023-11-03 18:00:00,could_be_better
порча 2 сезон,video_2431453,2023-11-03 18:00:00,uselessly
лига городов тнт,video_437401,2023-11-03 18:00:00,uselessly
зенит  локомотив,video_216054,2023-11-03 18:00:00,could_be_better
москва,video_4363829,2023-11-03 18:00:00,useful
debauchery food лапша по-тайски,video_40972,2023-11-03 18:00:00,could_be_better
иванько,video_2432078,2023-11-03 18:00:00,useful
гоблин,video_25108415,2023-11-03 18:00:00,could_be_better
выжить в дубае 10,video_477790,2023-11-03 18:00:00,uselessly
